cidade,temperatura,umidade,data_coleta
Natal,27.12,74,2025-08-25 17:34:01.421341
São Paulo,18.54,81,2025-08-25 17:34:02.145470
Rio de Janeiro,23.21,80,2025-08-25 17:34:03.106953
Natal,27.12,74,2025-08-25 17:39:01.621318
São Paulo,17.81,84,2025-08-25 17:39:01.973883
Rio de Janeiro,22.44,83,2025-08-25 17:39:02.324931
Natal,27.12,74,2025-08-25 17:44:03.271385
São Paulo,17.81,84,2025-08-25 17:44:03.639228
Rio de Janeiro,22.44,83,2025-08-25 17:44:03.977987
Natal,27.12,74,2025-08-25 18:04:25.555176
São Paulo,17.5,85,2025-08-25 18:04:26.482210
Rio de Janeiro,22.44,83,2025-08-25 18:04:27.572146
Natal,25.36,83,2025-08-25 18:13:18.177545
São Paulo,17.5,85,2025-08-25 18:13:19.111750
Rio de Janeiro,21.98,88,2025-08-25 18:13:20.045013
Natal,25.36,83,2025-08-25 18:14:02.928529
São Paulo,17.5,85,2025-08-25 18:14:03.951655
Rio de Janeiro,21.98,88,2025-08-25 18:14:05.289237
Natal,28.12,65,2025-08-27 11:06:53.136683
São Paulo,21.31,77,2025-08-27 11:07:18.315845
Natal,29.12,54,2025-08-27 11:55:57.448642
São Paulo,21.22,72,2025-08-27 11:55:58.729330
Rio de Janeiro,24.2,70,2025-08-27 11:55:59.800485
Fortaleza,30.07,54,2025-08-27 13:19:16.727368
São Paulo,22.2,76,2025-08-27 13:19:24.681087
Fortaleza,30.07,54,2025-08-27 13:24:02.006299
São Paulo,22.07,72,2025-08-27 13:24:07.046867
Fortaleza,30.07,54,2025-08-27 13:40:29.064344
Anápolis,28.78,26,2025-08-27 13:40:36.987378
São Paulo,23.96,62,2025-08-28 13:54:37.864227
Natal,30.12,51,2025-08-28 13:55:02.957922
Anápolis,30.78,23,2025-08-28 13:55:08.924195
Natal,30.12,51,2025-08-28 13:58:57.755935
São Paulo,23.96,62,2025-08-28 13:59:13.244551
São Paulo,23.96,62,2025-08-28 13:59:43.760755
São Paulo,23.96,62,2025-08-28 14:00:44.995863
Fortaleza,30.07,51,2025-08-28 14:11:23.655182
Anápolis,32.27,18,2025-08-28 14:11:55.678423
Anápolis,32.27,18,2025-08-28 14:11:57.551972
Anápolis,32.27,18,2025-08-28 14:12:20.377664
Anápolis,32.27,18,2025-08-28 14:12:21.835844
Rio de Janeiro,26.99,58,2025-08-28 14:12:27.041729
São Paulo,23.96,62,2025-08-28 14:12:34.612247
São Paulo,23.96,62,2025-08-28 14:12:35.869702
Salvador,26.98,73,2025-08-28 14:12:56.532668
Salvador,26.98,73,2025-08-28 14:12:58.378987
Belo Horizonte,27.22,39,2025-08-28 14:13:16.073337
Belém,29.98,96,2025-08-28 14:13:28.002911
Fortaleza,30.07,51,2025-08-28 14:16:32.433590
Natal,30.12,51,2025-08-28 14:21:44.298853
Fortaleza,30.07,51,2025-08-28 14:21:54.641435
Maceió,26.69,65,2025-08-28 14:23:26.587220
Maceió,26.69,65,2025-08-28 14:23:29.007149
Teresina,35.84,28,2025-08-28 14:23:41.751407
Osasco,23.68,92,"quinta-feira, 28 de agosto de 2025 14:26:47"
Osasco,23.68,92,"quinta-feira, 28 de agosto de 2025 14:26:48"
Natal,30.12,51,"Quinta-feira, 28 de agosto de 2025 14:28:43"
